Year	Age	Austria	Belgium	Bulgaria	Croatia	CzechRepublic	France	Germany	Greece	Hungary	Italy	Lithuania	Poland	Portugal	Slovakia	Slovenia	Spain	Switzerland
14	4	0.149866698	0.152963367	0.224058414	0.202575315	0.170888401	0.130661355	0.162312149	0.155287074	0.181648455	0.155213767	0.186548376	0.165582493	0.138148948	0.176163725	0.179230649	0.1370752	0.146573748
15	1	0.002129698	0.002368839	0.005115632	0.00322247	0.002684385	0.002386072	0.002625322	0.00217799	0.004608489	0.001887088	0.005865623	0.003752832	0.002372061	0.003727793	0.002255239	0.001822255	0.001437548
15	2	0.017591578	0.016106028	0.033443233	0.019871096	0.022302133	0.012532813	0.017408531	0.015199933	0.027940646	0.0136461	0.029679634	0.023809944	0.014437304	0.025650007	0.019675754	0.012713593	0.013317699
15	3	0.042410334	0.045378064	0.077693334	0.071629458	0.064654732	0.03559471	0.045305683	0.047295404	0.07327641	0.041903701	0.066940119	0.059880217	0.039415692	0.07203235	0.054478026	0.039040829	0.034509038
15	4	0.154902219	0.151375512	0.204841725	0.18893388	0.176781105	0.124509	0.161785006	0.162658803	0.185343963	0.153535925	0.194486605	0.166037806	0.129525638	0.172612037	0.16875613	0.138301912	0.153247859
16	1	0.001968628	0.002333271	0.004763588	0.003054827	0.002921678	0.002326938	0.002564483	0.002304791	0.004657948	0.001772841	0.005166054	0.003793687	0.002179523	0.003714188	0.002819049	0.00184421	0.00136287
16	2	0.018702625	0.015202886	0.030049547	0.025390845	0.022879679	0.012507517	0.017290612	0.014114224	0.028968312	0.013510516	0.02629841	0.02316087	0.012374832	0.024412507	0.015740603	0.01328322	0.012403739
16	3	0.039013625	0.045741089	0.075971598	0.06694666	0.062758699	0.035309183	0.043936813	0.044062554	0.068319011	0.03934926	0.055825534	0.058429203	0.038738446	0.07181274	0.050925112	0.0387978	0.032886356
16	4	0.147708618	0.14414195	0.203206262	0.18893388	0.173133241	0.124034869	0.156585459	0.141344891	0.191356605	0.14304275	0.185754553	0.158676898	0.122486201	0.168350011	0.143151752	0.13359292	0.144520175
17	1	0.00195968	0.00215543	0.004895605	0.00322247	0.002788201	0.002292215	0.002408937	0.002364462	0.004318499	0.001817196	0.00527368	0.003583575	0.0021272	0.003591742	0.002706287	0.001754702	0.001316197
17	2	0.01672743	0.015202886	0.027704819	0.023550928	0.021324749	0.012608781	0.017104425	0.015813595	0.028447735	0.012816647	0.027237639	0.022970897	0.012191866	0.020812506	0.01705232	0.012095487	0.013187133
17	3	0.036296258	0.044942435	0.083181367	0.067466971	0.055648574	0.034620902	0.043412731	0.046636861	0.066936053	0.03922969	0.060119805	0.053091546	0.040386066	0.063467528	0.041845441	0.03836382	0.036780793
17	4	0.140035443	0.136026246	0.197482142	0.179384875	0.166118117	0.120586339	0.149924287	0.135896221	0.170846199	0.14195082	0.158764575	0.158752784	0.120775088	0.167639674	0.16642846	0.123541794	0.14939741
18	1	0.002040215	0.002375953	0.004851599	0.003296978	0.002795616	0.002331784	0.002560167	0.002394297	0.004404712	0.00178225	0.005085334	0.003665285	0.0025723	0.003306035	0.002368001	0.001808745	0.001549565
18	2	0.015307759	0.015453759	0.027828225	0.021956334	0.019103421	0.012151835	0.016806525	0.014633476	0.025912287	0.013638124	0.025734873	0.02198937	0.013142264	0.021037506	0.017577007	0.011889451	0.010184123
18	3	0.038140186	0.043708151	0.074034645	0.065732602	0.057260203	0.034708226	0.04192653	0.046517126	0.064581063	0.040110157	0.058856784	0.054387094	0.039889764	0.059075312	0.041055904	0.038172869	0.033102714
18	4	0.138356936	0.141495525	0.210156979	0.186205593	0.159102994	0.11812966	0.150858768	0.14583203	0.175394517	0.144054782	0.184166908	0.144941595	0.130053595	0.178294738	0.148970929	0.127538502	0.135792491
19	1	0.002192336	0.002340385	0.004675578	0.002980319	0.00277337	0.002352351	0.002598083	0.00191693	0.004545789	0.001813163	0.004735549	0.003649721	0.002433673	0.003414876	0.002292827	0.001737813	0.001558899
19	2	0.01469051	0.013848174	0.025051573	0.021343029	0.021280322	0.012269896	0.016992712	0.013075719	0.024796689	0.012641185	0.028176868	0.022416809	0.014437304	0.024300007	0.014953573	0.012628755	0.011750911
19	3	0.039595918	0.042110844	0.072743343	0.059662309	0.052899326	0.033033193	0.041253828	0.043044805	0.062769533	0.038425313	0.061382826	0.05399843	0.041853776	0.048973214	0.037897758	0.037825685	0.030939138
19	4	0.135959069	0.137966958	0.188895962	0.166425511	0.158541784	0.110968691	0.142975582	0.121152763	0.146683259	0.133534974	0.150826347	0.140995541	0.118086553	0.152722584	0.131513398	0.131020782	0.130401863
20	1	0.001825455	0.002219453	0.005401667	0.003296978	0.002699215	0.002390914	0.002467091	0.002371921	0.004564268	0.00172983	0.005435119	0.00364194	0.002002389	0.003333245	0.002255239	0.001756391	0.001465552
20	2	0.014381886	0.013647475	0.026162234	0.020729723	0.021280322	0.011822951	0.015925237	0.012934105	0.023997505	0.011500687	0.023105032	0.021862721	0.013382086	0.023062506	0.011280765	0.01237424	0.010641103
20	3	0.036781502	0.042328658	0.064672706	0.065559165	0.053183731	0.032345002	0.041230362	0.042505996	0.060889144	0.037436147	0.062393243	0.052573327	0.037993476	0.059734144	0.037108221	0.036801493	0.030939138
20	4	0.135959069	0.136202675	0.187260499	0.150737861	0.163873278	0.110363168	0.140938893	0.121313018	0.15383519	0.129220522	0.180197793	0.134697032	0.120726342	0.174032712	0.140824081	0.121365369	0.132198739
21	1	0.001727024	0.001991817	0.004246525	0.003203843	0.003025494	0.002310236	0.002472482	0.002095943	0.004467413	0.001771497	0.005596558	0.003606921	0.002187225	0.003605347	0.002819049	0.001751324	0.001493556
21	2	0.01290049	0.01535341	0.02573031	0.020607062	0.021769015	0.012178674	0.015745256	0.013170129	0.024137472	0.012362043	0.028176868	0.021371958	0.015060842	0.019912505	0.012067796	0.011659177	0.011293931
21	3	0.036296258	0.043272522	0.063381404	0.050470151	0.05365774	0.033724981	0.041152141	0.037477118	0.055070528	0.03639263	0.058098972	0.05127778	0.038806171	0.057757647	0.042634977	0.034510079	0.029424635
21	4	0.12492888	0.126322688	0.172950199	0.150055789	0.15601634	0.111555708	0.138686555	0.119389959	0.146398989	0.122216194	0.150032524	0.135683546	0.135861131	0.149170896	0.118711209	0.123937508	0.124241145
22	1	0.001744921	0.002212339	0.00436754	0.003390113	0.002795616	0.002381916	0.002606199	0.002237661	0.004483088	0.001908593	0.005623465	0.003881234	0.001886867	0.003659767	0.002781462	0.001834077	0.001409544
22	2	0.015060859	0.015002188	0.02900059	0.019993757	0.019058994	0.012834901	0.016092806	0.013500562	0.029259079	0.012856524	0.028740405	0.022211005	0.012614655	0.021600006	0.01705232	0.011295585	0.011555063
