Year	Age	Austria	Belgium	Bulgaria	CzechRepublic	Denmark	Finland	Germany	Greece	Hungary	Norway	Poland	Scotland	Slovenia	Switzerland	Taiwan
14	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
15	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
15	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
15	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
15	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
16	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
16	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
16	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
16	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
17	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
17	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
17	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
17	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
18	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
18	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
18	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
18	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
19	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
19	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
19	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
19	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
20	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
20	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
20	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
20	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
21	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
21	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
21	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
21	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
22	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
22	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
22	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
22	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
23	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
23	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
23	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
23	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
24	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
24	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
24	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
24	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
25	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
25	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
25	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
25	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
26	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
26	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
26	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
26	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
27	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
27	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
27	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
27	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
28	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
28	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
28	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
28	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
29	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
29	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
29	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
29	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
30	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
30	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
30	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
30	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
31	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
31	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
