Year	Age	Austria	Belgium	Bulgaria	CzechRepublic	Denmark	Finland	Germany	Greece	Hungary	Norway	Poland	Scotland	Slovenia	Switzerland	Taiwan
30	4	0.132602055	0.114678418	0.219152025	0.141144279	0.135225463	0.119843829	0.129293823	0.165062627	0.140997862	0.113614557	0.124756012	0.135200614	0.125694221	0.134252312	0.120458867
31	1	0.002299716	0.002283476	0.00436754	0.002936509	0.002245803	0.002423978	0.002529643	0.002394297	0.004532721	0.001706869	0.004054381	0.002661964	0.002443176	0.001577569	0.002708288
31	2	0.014875685	0.015804981	0.026717564	0.021502455	0.013257506	0.013093911	0.016223137	0.015577572	0.027396117	0.012815267	0.02243264	0.019155339	0.014428886	0.010641103	0.015650077
31	3	0.040954602	0.042110844	0.07295856	0.058682228	0.047155266	0.034495041	0.041910886	0.046756596	0.061523988	0.037378432	0.056149039	0.051385751	0.040661136	0.033859966	0.045240829
31	4	0.137397789	0.136026246	0.196664411	0.180990179	0.140511148	0.123257103	0.14383818	0.149357639	0.160654607	0.129394356	0.154427302	0.151317244	0.126858057	0.141696513	0.120779237
32	1	0.002147595	0.00239018	0.004642573	0.003062571	0.002103664	0.002678347	0.002447209	0.002133237	0.005002832	0.001356351	0.003960998	0.002529601	0.0026687	0.001484222	0.002585457
32	2	0.015739833	0.013747825	0.024681353	0.02390149	0.017292399	0.013425402	0.016409325	0.015152729	0.031352235	0.012169119	0.021736073	0.020203641	0.016002946	0.01057582	0.015553072
32	3	0.043963115	0.038625808	0.068546612	0.071859658	0.045335238	0.041454567	0.042959049	0.045678979	0.07058167	0.039268353	0.054464827	0.046376448	0.045398355	0.036348078	0.044851301
32	4	0.176483024	0.123852691	0.190122559	0.223642128	0.138308779	0.128187387	0.147336493	0.138139791	0.200170463	0.137960533	0.152985474	0.130723773	0.146643258	0.135535795	0.119017205
33	1	0.002031267	0.002048726	0.004180516	0.002803031	0.002245803	0.002124722	0.002453366	0.002267497	0.003997159	0.001676389	0.003447392	0.002720791	0.002781462	0.001502891	0.002642379
33	2	0.014073262	0.014048872	0.024372836	0.017459638	0.014986746	0.012845292	0.014882587	0.014161429	0.019573665	0.013030649	0.021213647	0.016677534	0.020725127	0.010836951	0.015908756
33	3	0.033870038	0.038553203	0.063381404	0.049391665	0.043680667	0.039941626	0.037992007	0.039273146	0.053258998	0.037588424	0.04775389	0.047345991	0.035134379	0.038187118	0.043571425
