Year	Age	Australia	Austria	Belgium	CzechRepublic	Hungary	Italy	Norway	Scotland	Slovenia	Spain	Switzerland	Taiwan
31	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
31	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
31	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
31	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
32	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
32	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
32	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
32	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
33	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
33	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
33	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
33	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
34	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
34	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
34	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
34	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
35	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
35	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
35	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
35	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
36	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
36	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
36	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
36	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
37	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
37	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
37	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
37	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
38	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
38	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
38	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
38	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
39	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
39	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
39	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
39	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
40	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
40	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
40	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
40	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
41	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
41	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
41	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
41	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
42	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
42	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
42	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
42	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
43	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
43	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
