Year	Age	Australia	Canada	EnglandandWales	France	Italy	Netherlands	NewZealand	Portugal	Spain	USA
31	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
31	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
31	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
31	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
32	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
32	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
32	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
32	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
33	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
33	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
33	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
33	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
34	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
34	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
34	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
34	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
35	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
35	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
35	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
35	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
36	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
36	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
36	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
36	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
37	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
37	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
37	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
37	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
38	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
38	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
38	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
38	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
39	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
39	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
39	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
39	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
40	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
40	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
40	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
40	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
41	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
41	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
41	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
41	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
42	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
42	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
42	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
42	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
43	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
43	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
43	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
43	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
44	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
44	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
44	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
44	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
45	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
45	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
45	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
45	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
46	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
46	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
46	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
46	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
47	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
47	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
47	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
47	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
48	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
48	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
48	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
48	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
49	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
49	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
49	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
49	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
50	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
50	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
50	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
50	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
51	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
51	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
