Year	Age	Australia	Canada	EnglandandWales	France	Italy	Netherlands	NewZealand	Portugal	Spain	USA
21	1	584.3344797	0.002118003	0.001713832	0.002310236	0.001771497	0.001971442	553.9470615	0.002187225	0.001751324	0.003156077
21	2	83.92997094	0.013675737	0.01259474	0.012178674	0.012362043	0.01469855	75.15628455	0.015060842	0.011659177	0.017437342
21	3	25.48690339	0.038292072	0.038418194	0.033724981	0.03639263	0.039107849	24.19702362	0.038806171	0.034510079	0.043612034
21	4	7.260106538	0.121398384	0.116783761	0.111555708	0.122216194	0.151799083	6.856962516	0.135861131	0.123937508	0.138719855
22	1	540.1737377	0.002093833	0.002121688	0.002381916	0.001908593	0.001778992	465.5091106	0.001886867	0.001834077	0.00316348
22	2	77.99552855	0.013005131	0.015611942	0.012834901	0.012856524	0.014224403	73.56199077	0.012614655	0.011295585	0.016854077
22	3	26.76947014	0.036686106	0.04513826	0.034266744	0.039534049	0.039768827	23.44078677	0.041244255	0.038103433	0.043318452
22	4	7.022734634	0.111488311	0.150356251	0.113680381	0.141977453	0.148379515	6.541214654	0.127237821	0.125203791	0.135832465
23	1	575.0590206	0.002137006	0.002036485	0.002360063	0.001819884	0.001652256	491.6194849	0.002302747	0.001788479	0.003219098
23	2	76.9079415	0.013427386	0.014633889	0.012227731	0.012824622	0.01540977	70.02340639	0.013525979	0.012180325	0.017338869
23	3	25.86825356	0.037551155	0.043360795	0.033163041	0.037436147	0.044395671	23.07372261	0.037790303	0.036055048	0.043871742
23	4	6.869351974	0.110426518	0.138685453	0.112521989	0.132736002	0.147487454	6.738378719	0.114918806	0.120376085	0.13614534
24	1	552.6110611	0.002158705	0.002014137	0.002316359	0.00169354	0.001727359	533.4151852	0.00231815	0.001683771	0.003224031
24	2	82.67191999	0.012960148	0.014172543	0.012000042	0.012290263	0.014076232	64.21701721	0.013861731	0.011889451	0.016990425
24	3	26.32784183	0.036468326	0.041349453	0.031591887	0.036240451	0.040925538	22.12610107	0.037180782	0.035950892	0.042460288
24	4	7.017138829	0.110072587	0.136487705	0.109204776	0.117928374	0.142581117	6.530981856	0.123014159	0.115310951	0.135170958
25	1	605.6783761	0.002061844	0.002001566	0.002399912	0.001672035	0.001802462	483.6294363	0.001909971	0.001651683	0.003206799
25	2	75.5533985	0.013043457	0.014513939	0.012244597	0.012641185	0.013513183	77.30388856	0.012854477	0.011671296	0.01722714
25	3	24.5809708	0.03646148	0.041817207	0.032578727	0.036142621	0.040319642	23.57887822	0.038670722	0.035707864	0.042576968
25	4	6.907066063	0.115381554	0.129780786	0.111995447	0.122935269	0.142283764	6.433214446	0.111399088	0.12342308	0.134241272
26	1	553.3075198	0.002088071	0.001889825	0.002529887	0.001849454	0.002074708	503.7366279	0.001909971	0.00203336	0.003207263
26	2	77.83827951	0.012591108	0.014901469	0.013105527	0.013167569	0.015795014	65.90392197	0.01213501	0.012871149	0.017037768
26	3	25.73987514	0.035502008	0.039915007	0.036853727	0.039784058	0.041200945	22.15969211	0.038602997	0.040811467	0.043246938
26	4	6.547590506	0.115027623	0.136525598	0.124673395	0.135745465	0.165774709	6.468406159	0.108583313	0.139766053	0.134849143
27	1	545.098762	0.002093042	0.001987599	0.002475753	0.001896496	0.001821237	491.5095379	0.002241135	0.001910075	0.003211113
27	2	73.25955718	0.012749493	0.014283266	0.013425205	0.013685977	0.012446353	66.99463802	0.013046335	0.013198382	0.017113517
27	3	25.30041385	0.035807365	0.040039741	0.032357987	0.043523325	0.043349123	21.34618815	0.039618866	0.041644708	0.042467816
27	4	6.167023271	0.114673692	0.128568236	0.111495233	0.162484419	0.145852009	6.075167505	0.114566834	0.147838611	0.133687036
28	1	525.8602545	0.00206533	0.001949886	0.002375643	0.001981173	0.002055933	539.3951885	0.002248837	0.001908386	0.003177796
28	2	83.20643671	0.012851177	0.013268305	0.012076814	0.013893341	0.013157573	69.38308115	0.013909695	0.012895389	0.017287738
28	3	23.49528806	0.036068934	0.038761214	0.032776408	0.043914644	0.03949342	20.85928026	0.036435812	0.041071855	0.043416313
28	4	6.290363736	0.111488311	0.129022942	0.112983851	0.15974128	0.141391702	5.59097247	0.114390849	0.14257562	0.13464354
29	1	558.8943653	0.002071344	0.001933125	0.002334355	0.00206585	0.001924503	548.4619384	0.00226424	0.001839144	0.003128692
29	2	77.21557327	0.012892989	0.014606208	0.011890414	0.014052851	0.014105866	62.782262	0.013334121	0.012434839	0.016863546
29	3	24.2647244	0.035989365	0.039291335	0.030981604	0.047164762	0.039548501	19.6939104	0.037316231	0.039301217	0.042494163
29	4	6.136940231	0.109010793	0.122505484	0.110942364	0.183284342	0.139012873	5.398703048	0.109111271	0.135096632	0.134536268
30	1	553.4445909	0.002212737	0.001931728	0.002221236	0.001806443	0.001807156	539.3951885	0.002410568	0.001857721	0.003181838
30	2	75.40583327	0.012791305	0.01334212	0.012160268	0.013175545	0.014461476	61.47432288	0.013382086	0.011719775	0.016854077
30	3	24.40745807	0.035727796	0.038870356	0.032409926	0.039110121	0.040484886	19.07967026	0.038535273	0.036245999	0.04265601
30	4	6.027727057	0.118213003	0.122126562	0.104307937	0.142803058	0.129794907	5.283660847	0.109463243	0.126826217	0.132471293
31	1	541.5901726	0.00203584	0.001898206	0.002407625	0.001901873	0.001844707	452.4086222	0.002610807	0.001847588	0.003190259
31	2	75.85026844	0.01259934	0.013572793	0.012067506	0.013845488	0.016209893	60.61704738	0.013861731	0.011986409	0.016793478
31	3	22.92413189	0.035182959	0.040164476	0.033292888	0.041740651	0.038171464	19.98098949	0.035758566	0.036489027	0.041794082
31	4	6.294860065	0.111488311	0.128037745	0.119182743	0.148129543	0.133660505	5.712602856	0.114566834	0.119742943	0.130683436
32	1	550.4759733	0.001988138	0.002032295	0.002277795	0.001775529	0.001750829	491.2897915	0.002148717	0.00187292	0.003151917
32	2	76.75504301	0.012568932	0.014052593	0.012404822	0.012832598	0.013365012	66.09792884	0.011559436	0.01196217	0.016632513
32	3	23.49528806	0.035240827	0.040180068	0.031215329	0.038349223	0.039989153	19.66225794	0.038873896	0.036159203	0.041771499
32	4	5.863188569	0.112904036	0.133570006	0.110837055	0.138941356	0.143473179	5.292135649	0.111927046	0.114440381	0.131461154
33	1	528.6792836	0.002123546	0.002035089	0.002254658	0.001619616	0.001671032	563.2973081	0.002404712	0.001692215	0.003168904
33	2	74.67656989	0.012960148	0.014237131	0.011890414	0.012066949	0.014165135	64.38792331	0.012335756	0.011598578	0.017092686
33	3	22.11763258	0.036468326	0.041396228	0.031345176	0.035077365	0.038887523	21.0517484	0.037201698	0.034857263	0.042927009
33	4	5.970514733	0.112196174	0.128037745	0.110363168	0.123174961	0.144067886	6.004370396	0.116901319	0.112343098	0.129852082
34	1	543.3671571	0.002047369	0.001975028	0.002308646	0.001725798	0.001962055	520.5245796	0.002210329	0.001876298	0.003156277
34	2	79.93330566	0.012919281	0.014117181	0.012033774	0.012346092	0.01377989	71.19316949	0.011847223	0.011683416	0.016980956
34	3	24.12365042	0.036091021	0.040866107	0.032461865	0.03657742	0.038612116	21.07821276	0.035487668	0.035291243	0.042302205
34	4	6.171344941	0.113257967	0.128568236	0.113101185	0.129673273	0.138864196	5.746467052	0.115270778	0.112659669	0.133195375
35	1	516.1221863	0.002133395	0.001683103	0.002316359	0.001821228	0.001807156	563.5139567	0.002304445	0.001834077	0.003230333
35	2	74.38879891	0.013095727	0.012161075	0.011713323	0.012944255	0.014076232	70.22666469	0.012576132	0.010713838	0.017047236
35	3	23.6560312	0.036817084	0.036017057	0.031072497	0.036707859	0.038336708	21.20868307	0.037134388	0.034162895	0.042050026
35	4	6.0112691	0.112196174	0.113108218	0.110020915	0.131883764	0.140945672	5.688297424	0.121124438	0.106130395	0.132703715
36	1	568.7714836	0.002058898	0.002032295	0.002284223	0.001764777	0.001994912	508.4186686	0.002202628	0.001817189	0.003158821
36	2	74.96657599	0.012663014	0.01418177	0.012067506	0.012114802	0.014105866	61.97646233	0.01438934	0.011331944	0.017300994
36	3	24.75696821	0.035516863	0.040086517	0.033150056	0.034979535	0.040319642	21.35156735	0.039144794	0.033468528	0.042614607
36	4	6.081843391	0.115381554	0.137283442	0.11404896	0.12096447	0.142283764	6.302201316	0.11474282	0.108465105	0.133231132
37	1	541.4330337	0.002191485	0.001934521	0.002347508	0.001775529	0.001905728	452.0829061	0.002283229	0.00174288	0.003145176
37	2	80.60080717	0.013513866	0.014292493	0.012212389	0.013000083	0.013394646	66.79533944	0.012008314	0.010822915	0.017562327
37	3	24.8459154	0.037841657	0.040959658	0.033335413	0.037577456	0.041421271	21.28926215	0.036073773	0.033103984	0.042230692
37	4	6.245751227	0.11113438	0.131789073	0.11600516	0.130898364	0.150163638	5.951438269	0.107793118	0.110799815	0.134321725
38	1	566.6663223	0.002163899	0.002026708	0.002281652	0.001751336	0.0020043	520.7095705	0.002458676	0.001780034	0.003159203
38	2	80.93875605	0.01340458	0.014126408	0.012674676	0.012178606	0.014580013	68.06462341	0.01252709	0.011792493	0.017268801
38	3	26.46216755	0.037594556	0.043516713	0.033176026	0.035642603	0.041641597	21.81181228	0.038760317	0.035378039	0.042878078
38	4	6.631407553	0.116797279	0.139519082	0.118945799	0.120591616	0.148082162	6.108363991	0.122530529	0.112540955	0.136601244
39	1	565.989542	0.002177359	0.002000169	0.002332072	0.001775529	0.002145117	563.2251289	0.002379762	0.001700659	0.00313751
39	2	85.22690206	0.013543645	0.014477031	0.013612395	0.012936279	0.01505416	69.40519713	0.01299837	0.011877332	0.017295313
39	3	25.33130569	0.038088371	0.041099984	0.033880617	0.036794819	0.04434059	24.06826263	0.042598746	0.03470103	0.04330716
39	4	6.912487622	0.121044452	0.139822219	0.122429106	0.128927565	0.143175825	7.018831831	0.122310215	0.111986956	0.133195375
40	1	583.0998334	0.00202884	0.002085372	0.002320215	0.001787626	0.002027769	548.5988447	0.002194926	0.001906697	0.003264086
40	2	77.99552855	0.01403686	0.014753839	0.013442071	0.0128645	0.013868793	59.64093089	0.013094299	0.011610698	0.018073631
40	3	27.04868235	0.039425147	0.043968875	0.035409402	0.038816632	0.043569449	21.71988418	0.038399824	0.035030855	0.045328362
40	4	6.994844504	0.130954525	0.144255607	0.129002748	0.134946493	0.147636131	6.862944253	0.115974722	0.117764375	0.138693037
41	1	547.6540212	0.002071664	0.001940109	0.00236392	0.00172983	0.001830625	458.7217175	0.002202628	0.001822255	0.003169557
41	2	81.10879545	0.014518987	0.014624662	0.013180651	0.012736892	0.015291233	76.39810476	0.013238193	0.012192444	0.017602095
41	3	27.51503894	0.040631333	0.043360795	0.03398108	0.038816632	0.040650131	25.19160945	0.03745168	0.035273884	0.043566868
41	4	7.456824073	0.128830938	0.138988591	0.126870254	0.130365716	0.156854097	7.252248041	0.121078313	0.119465944	0.138621523
42	1	560.2148111	0.00207065	0.002025311	0.002344638	0.001865583	0.002013688	538.9983279	0.002179523	0.001845899	0.003186951
42	2	83.92997094	0.014319106	0.014790746	0.013703492	0.01240192	0.015528307	69.47162973	0.013813766	0.012362121	0.017698675
42	3	28.77439578	0.040253254	0.043438754	0.036136548	0.03933839	0.045497301	24.14630553	0.040634734	0.036957726	0.0446471
42	4	7.552752342	0.128123075	0.143573547	0.131372187	0.139607167	0.154475267	7.130398266	0.123894088	0.120296942	0.142572687
43	1	603.0845397	0.002136089	0.001975028	0.002428192	0.001676067	0.00187287	608.0106968	0.002580001	0.001778346	0.003187968
43	2	81.62322756	0.013796111	0.014440123	0.012910797	0.013151618	0.014372574	71.63107728	0.014101553	0.012071247	0.017728974
43	3	27.92239483	0.038669764	0.041645697	0.035539249	0.038588363	0.04362453	23.34921159	0.038128925	0.036975085	0.044029824
43	4	7.631290495	0.130600593	0.146983845	0.128765805	0.13952727	0.168896923	6.495929423	0.121078313	0.127459359	0.141303309
44	1	577.6860905	0.002033117	0.002205494	0.002277795	0.001743271	0.002131035	538.8661708	0.002456777	0.001801989	0.00320995
44	2	88.14563159	0.013882591	0.015261319	0.013071023	0.012784745	0.014609647	75.69706586	0.012614655	0.012725712	0.018113399
44	3	26.49596342	0.038960266	0.044483404	0.033059163	0.03936013	0.043459286	23.025199	0.043411441	0.036801493	0.04561818
44	4	7.891137304	0.128123075	0.144975558	0.126896581	0.140725729	0.141391702	6.27378937	0.129701624	0.125599505	0.141821787
45	1	605.4617334	0.002125129	0.002121688	0.002398938	0.001822572	0.001825931	601.4090422	0.002341255	0.001759768	0.003225926
45	2	88.75353249	0.013705516	0.014827654	0.01230513	0.012465724	0.014728184	82.02050896	0.013573944	0.012531797	0.017806617
45	3	29.3441858	0.038538786	0.043719406	0.032698953	0.038479663	0.041641597	26.67751329	0.040567009	0.037044522	0.044805183
45	4	7.976910535	0.13272418	0.148764778	0.11792728	0.136464541	0.141243026	7.382857561	0.115974722	0.123383509	0.140346805
46	1	576.4500187	0.002173622	0.002049056	0.002248382	0.0016801	0.002018382	480.2289434	0.002202628	0.00175808	0.00317605
46	2	82.31937449	0.014258918	0.015205957	0.012489962	0.013271251	0.015083794	66.97403138	0.015060842	0.012434839	0.01814938
46	3	28.4977189	0.040064408	0.044202752	0.034074871	0.03920795	0.047039582	23.8530857	0.040499285	0.037756249	0.045877888
46	4	7.834972625	0.125645557	0.144066146	0.120039859	0.136544438	0.147784808	7.232247019	0.124598032	0.125282934	0.144566148
47	1	558.4134103	0.002075844	0.002145433	0.002312502	0.001745959	0.001943279	601.3267663	0.002112955	0.001850966	0.003169711
47	2	92.58462023	0.013957982	0.014956831	0.012784304	0.012553455	0.014283671	74.50323311	0.015079048	0.012955987	0.018041438
47	3	28.73454205	0.039120178	0.043017775	0.035500295	0.039023161	0.044671078	26.10560029	0.041763085	0.040186536	0.045004668
47	4	7.624683317	0.127061282	0.145884971	0.127370469	0.139740329	0.148230838	7.816761676	0.14617377	0.133790777	0.145406441
48	1	547.2187442	0.0021925	0.002110514	0.002374203	0.001833325	0.002018382	427.5519399	0.002279643	0.001952296	0.003266221
48	2	85.60484841	0.014134743	0.015750345	0.013576998	0.013709904	0.015854282	70.56114467	0.014293411	0.013392297	0.018130442
48	3	28.11157095	0.039693949	0.046822174	0.035201646	0.040577565	0.040925538	25.03785377	0.045510902	0.040481642	0.045813902
48	4	8.443441257	0.135201698	0.153690764	0.128212936	0.150446564	0.154475267	7.695895825	0.142724582	0.137906199	0.146541731
49	1	589.3057648	0.002177457	0.002070008	0.002446188	0.001830636	0.002013688	584.9951377	0.002133314	0.001871232	0.003311801
49	2	85.03917761	0.014820238	0.015058327	0.013189084	0.013374933	0.015143062	71.03059876	0.01343005	0.012859029	0.018976934
49	3	27.11939785	0.041423272	0.045652789	0.034954936	0.041436292	0.045717626	24.95112933	0.042395572	0.039370654	0.047138786
49	4	7.814116443	0.135555629	0.157366308	0.130266449	0.148955148	0.157597481	7.282711272	0.142548596	0.14229862	0.151762274
50	1	570.5462082	0.002061495	0.002262762	0.002374203	0.001799723	0.001830625	567.5416726	0.002356658	0.002009716	0.003201229
50	2	96.76137001	0.013980159	0.016442364	0.012632511	0.013733831	0.015587575	74.57206107	0.014581198	0.013525614	0.018244065
50	3	27.51503894	0.039381359	0.04713401	0.036136548	0.040468866	0.047094663	27.069233	0.046459046	0.0409677	0.046348372
