Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
32	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
32	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
33	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
33	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
33	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
33	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
34	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
34	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
34	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
34	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
35	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
35	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
35	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
35	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
36	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
36	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
36	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
36	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
