Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
16	2	0.030049547	0.01420982	0.017292399	0.015519673	0.015497224	0.012507517	0.017290612	0.014114224	0.013957695	73.26496674	0.02316087	0.012374832	0.018049013
16	3	0.075971598	0.040006152	0.043680667	0.047726499	0.042967507	0.035309183	0.043936813	0.044062554	0.045717626	25.45000004	0.058429203	0.038738446	0.046295678
16	4	0.203206262	0.131662387	0.142273044	0.159374594	0.160803113	0.124034869	0.156585459	0.141344891	0.16384191	7.718547538	0.158676898	0.122486201	0.145585227
17	1	0.004895605	0.002130546	0.002274231	0.002009947	0.002453904	0.002292215	0.002408937	0.002364462	0.001825931	553.1105851	0.003583575	0.0021272	0.003191357
17	2	0.027704819	0.014296614	0.016551296	0.015021419	0.015248605	0.012608781	0.017104425	0.015813595	0.01540977	74.35059206	0.022970897	0.012191866	0.017535815
17	3	0.083181367	0.040144364	0.046493438	0.045652789	0.041605861	0.034620902	0.043412731	0.046636861	0.040980619	24.86655047	0.053091546	0.040386066	0.04642365
17	4	0.197482142	0.127061282	0.154606311	0.153084489	0.148287776	0.120586339	0.149924287	0.135896221	0.150163638	7.242233721	0.158752784	0.120775088	0.145987495
18	1	0.004851599	0.002166147	0.002459012	0.001645391	0.002573607	0.002331784	0.002560167	0.002394297	0.001962055	442.5218791	0.003665285	0.0025723	0.003268528
18	2	0.027828225	0.014311818	0.017374744	0.013831147	0.013591148	0.012151835	0.016806525	0.014633476	0.014046598	70.22666469	0.02198937	0.013142264	0.017829341
18	3	0.074034645	0.04011543	0.041695183	0.040928474	0.043875271	0.034708226	0.04192653	0.046517126	0.042357656	23.95181632	0.054387094	0.039889764	0.045407403
18	4	0.210156979	0.127415213	0.149320625	0.132812162	0.144115997	0.11812966	0.150858768	0.14583203	0.158192189	7.169386365	0.144941595	0.130053595	0.145871284
19	1	0.004675578	0.002064538	0.002174733	0.002145433	0.002199536	0.002352351	0.002598083	0.00191693	0.001825931	538.8001165	0.003649721	0.002433673	0.003265422
19	2	0.025051573	0.014017855	0.015151435	0.015713438	0.013591148	0.012269896	0.016992712	0.013075719	0.015202331	73.48000608	0.022416809	0.014437304	0.017655119
19	3	0.072743343	0.039461315	0.04467341	0.046744215	0.039639038	0.033033193	0.041253828	0.043044805	0.044010101	24.71991491	0.05399843	0.041853776	0.044699794
19	4	0.188895962	0.125291626	0.137427832	0.150924634	0.133496924	0.110968691	0.142975582	0.121152763	0.148379515	7.246340268	0.140995541	0.118086553	0.139497573
20	1	0.005401667	0.002087722	0.002174733	0.002067214	0.002184573	0.002390914	0.002467091	0.002371921	0.001732053	590.128192	0.00364194	0.002002389	0.003126066
20	2	0.026162234	0.01328009	0.018445225	0.015501219	0.014005512	0.011822951	0.015925237	0.012934105	0.013453914	78.06312574	0.021862721	0.013382086	0.017104048
20	3	0.064672706	0.037376388	0.040536983	0.045621606	0.041151978	0.032345002	0.041230362	0.042505996	0.04136619	25.38176163	0.052573327	0.037993476	0.043295869
20	4	0.187260499	0.12352197	0.152844415	0.145468157	0.131600661	0.110363168	0.140938893	0.121313018	0.145108624	7.175169278	0.134697032	0.120726342	0.138576826
21	1	0.004246525	0.002118003	0.002302659	0.001713832	0.002199536	0.002310236	0.002472482	0.002095943	0.001971442	553.9470615	0.003606921	0.002187225	0.003156077
