Year	Age	Croatia	Lithuania	Slovakia	SouthKorea	Sweden
31	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
31	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
31	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
31	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
32	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
32	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
32	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
32	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
33	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
33	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
33	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
33	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
34	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
34	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
34	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
34	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
35	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
35	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
35	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
35	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
36	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
36	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
36	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
36	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
37	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
37	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
37	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
37	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
38	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
38	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
38	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
38	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
39	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
39	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
39	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
39	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
40	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
40	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
40	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
40	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
41	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
41	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
41	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
41	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
42	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
42	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
42	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
42	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
43	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
43	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
43	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
43	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
44	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
44	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
44	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
44	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
45	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
45	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
45	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
45	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
46	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
46	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
46	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
46	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
47	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
47	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
47	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
47	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
48	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
48	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
48	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
48	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
49	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
49	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
49	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
49	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
50	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
50	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
50	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
50	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
51	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
51	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
