Year	Age	Australia	NewZealand
94	2	0.011989293	0.011575665
94	3	0.037668848	0.037997079
94	4	0.144056203	0.147294936
95	1	0.001717668	0.001833322
95	2	0.011464761	0.01191268
95	3	0.039545253	0.039527171
95	4	0.140303015	0.152552876
96	1	0.001800916	0.002071642
96	2	0.011514717	0.011511481
96	3	0.036636824	0.037539706
96	4	0.138205645	0.14623476
97	1	0.001725771	0.001880521
97	2	0.012089204	0.013076773
97	3	0.039873624	0.038670994
97	4	0.136218663	0.140092351
98	1	0.001749902	0.001880779
98	2	0.011764494	0.01286415
98	3	0.034666598	0.038108633
98	4	0.130478492	0.134920287
99	1	0.001709683	0.00184996
99	2	0.012139159	0.013484663
99	3	0.034666598	0.04128408
99	4	0.137653705	0.148597203
100	1	0.001741627	0.001864659
100	2	0.012264048	0.013080118
100	3	0.033212384	0.039099534
100	4	0.125069485	0.140886989
101	1	0.001639623	0.001769227
101	2	0.010990185	0.013697286
101	3	0.033493845	0.038542079
101	4	0.118335824	0.129705284
102	1	0.001800439	0.001865564
102	2	0.011639605	0.014014232
102	3	0.035464071	0.040455764
102	4	0.122089012	0.139184436
103	1	0.001790226	0.001800435
103	2	0.01158965	0.012037705
103	3	0.034854239	0.035687178
103	4	0.127166855	0.126700464
104	1	0.001691026	0.002056297
104	2	0.013188222	0.013535468
104	3	0.033916036	0.038826786
104	4	0.123855218	0.135517748
105	1	0.001685367	0.001856212
105	2	0.011657645	0.010340416
105	3	0.034754084	0.032710344
105	4	0.118110661	0.118512251
106	1	0.001682165	0.001746754
106	2	0.011585237	0.01385214
106	3	0.034118061	0.039902072
106	4	0.120379942	0.13226598
107	1	0.001572817	0.001717006
107	2	0.01139215	0.012829662
107	3	0.033345748	0.036373438
107	4	0.117354234	0.12034325
108	1	0.00173214	0.002058953
108	2	0.010957704	0.012487315
108	3	0.03384548	0.038200335
108	4	0.120812186	0.135344656
109	1	0.001607482	0.002214693
109	2	0.010402578	0.010765535
109	3	0.031982843	0.035805308
109	4	0.117030051	0.133270905
110	1	0.001688611	0.001623095
110	2	0.011850732	0.012913652
110	3	0.034027201	0.037123174
110	4	0.121028308	0.126074713
111	1	0.001625486	0.001824579
111	2	0.011609373	0.012171747
111	3	0.031528541	0.036553027
111	4	0.123189528	0.127488391
112	1	0.001634397	0.001981577
112	2	0.01257481	0.011654117
112	3	0.03389091	0.036184377
112	4	0.12448626	0.130383932
113	1	0.001697976	0.002090227
113	2	0.011536966	0.012596866
113	3	0.033618329	0.03539591
113	4	0.122541162	0.117809696
114	1	0.001789314	0.001575556
114	2	0.012116227	0.013841489
114	3	0.032618866	0.040007012
