Year	Age	Australia	NewZealand
114	3	22011.80167	4180.755385
114	4	9254.033365	1605.046987
115	1	310872.2796	60776.02178
115	2	41432.03837	7932.787436
115	3	22011.80167	4180.755385
115	4	9254.033365	1605.046987
116	1	310872.2796	60776.02178
116	2	41432.03837	7932.787436
116	3	22011.80167	4180.755385
116	4	9254.033365	1605.046987
117	1	310872.2796	60776.02178
117	2	41432.03837	7932.787436
117	3	22011.80167	4180.755385
117	4	9254.033365	1605.046987
118	1	310872.2796	60776.02178
118	2	41432.03837	7932.787436
118	3	22011.80167	4180.755385
118	4	9254.033365	1605.046987
119	1	310872.2796	60776.02178
119	2	41432.03837	7932.787436
119	3	22011.80167	4180.755385
119	4	9254.033365	1605.046987
120	1	310872.2796	60776.02178
120	2	41432.03837	7932.787436
120	3	22011.80167	4180.755385
120	4	9254.033365	1605.046987
121	1	310872.2796	60776.02178
121	2	41432.03837	7932.787436
121	3	22011.80167	4180.755385
121	4	9254.033365	1605.046987
122	1	310872.2796	60776.02178
122	2	41432.03837	7932.787436
122	3	22011.80167	4180.755385
122	4	9254.033365	1605.046987
123	1	310872.2796	60776.02178
123	2	41432.03837	7932.787436
123	3	22011.80167	4180.755385
123	4	9254.033365	1605.046987
124	1	310872.2796	60776.02178
124	2	41432.03837	7932.787436
124	3	22011.80167	4180.755385
124	4	9254.033365	1605.046987
125	1	310872.2796	60776.02178
125	2	41432.03837	7932.787436
125	3	22011.80167	4180.755385
125	4	9254.033365	1605.046987
126	1	310872.2796	60776.02178
126	2	41432.03837	7932.787436
126	3	22011.80167	4180.755385
126	4	9254.033365	1605.046987
127	1	310872.2796	60776.02178
127	2	41432.03837	7932.787436
127	3	22011.80167	4180.755385
127	4	9254.033365	1605.046987
128	1	310872.2796	60776.02178
128	2	41432.03837	7932.787436
128	3	22011.80167	4180.755385
128	4	9254.033365	1605.046987
129	1	310872.2796	60776.02178
129	2	41432.03837	7932.787436
129	3	22011.80167	4180.755385
129	4	9254.033365	1605.046987
130	1	310872.2796	60776.02178
130	2	41432.03837	7932.787436
130	3	22011.80167	4180.755385
130	4	9254.033365	1605.046987
131	1	310872.2796	60776.02178
131	2	41432.03837	7932.787436
131	3	22011.80167	4180.755385
131	4	9254.033365	1605.046987
132	1	310872.2796	60776.02178
132	2	41432.03837	7932.787436
132	3	22011.80167	4180.755385
132	4	9254.033365	1605.046987
133	1	310872.2796	60776.02178
133	2	41432.03837	7932.787436
133	3	22011.80167	4180.755385
133	4	9254.033365	1605.046987
134	1	310872.2796	60776.02178
134	2	41432.03837	7932.787436
134	3	22011.80167	4180.755385
134	4	9254.033365	1605.046987
135	1	310872.2796	60776.02178
135	2	41432.03837	7932.787436
135	3	22011.80167	4180.755385
135	4	9254.033365	1605.046987
136	1	310872.2796	60776.02178
136	2	41432.03837	7932.787436
136	3	22011.80167	4180.755385
136	4	9254.033365	1605.046987
137	1	310872.2796	60776.02178
137	2	41432.03837	7932.787436
137	3	22011.80167	4180.755385
137	4	9254.033365	1605.046987
138	1	310872.2796	60776.02178
138	2	41432.03837	7932.787436
138	3	22011.80167	4180.755385
138	4	9254.033365	1605.046987
139	1	310872.2796	60776.02178
139	2	41432.03837	7932.787436
139	3	22011.80167	4180.755385
139	4	9254.033365	1605.046987
140	1	310872.2796	60776.02178
140	2	41432.03837	7932.787436
140	3	22011.80167	4180.755385
140	4	9254.033365	1605.046987
141	1	310872.2796	60776.02178
141	2	41432.03837	7932.787436
141	3	22011.80167	4180.755385
141	4	9254.033365	1605.046987
142	1	310872.2796	60776.02178
